"id","username","location","relationship_type","target"
143,"nancy4children","","following","christine65"
144,"joefd62","Bronx Native, Now in Maine","following","christine65"
145,"grammad52","Washington state","following","christine65"
146,"scothwilliams11","","following","christine65"
147,"trumpisourway","Las Vegas Nevada USA 🇺🇸","following","christine65"
148,"audrie","Florida","following","christine65"
149,"annienicole","","following","christine65"
150,"torquem552","Kansas","following","christine65"
151,"typingchimp","Tucson, Arizona","following","christine65"
152,"muffjamie","","following","christine65"
153,"eagleinthecloud","USA","following","christine65"
154,"curt1113","Lansing michigan","following","christine65"
155,"keanureevescharles148","Los Angeles","following","christine65"
156,"russvought","","following","christine65"
157,"gettrav","None of your damn business","following","christine65"
158,"ivarthegreat","","following","christine65"
159,"kenzie51","","following","christine65"
160,"alwaysbeready","","following","christine65"
161,"satya1776","","following","christine65"
162,"roycewhite","","following","christine65"
163,"maddduck","Portland, Oregon","following","christine65"
164,"atadmaddad","USA 🇺🇸","following","christine65"
165,"phattygoodness","","following","christine65"
166,"terminatoraz","S AZ","following","christine65"
167,"johnschneiderprivate","","following","christine65"
168,"easbel51","","following","christine65"
169,"jodyw","","following","christine65"
170,"johne","Gainesville","follower","aerovets"
171,"alexanderblackofficial","Northern Mariana Islands","follower","aerovets"
172,"destin3838","P-cola FL.","follower","aerovets"
173,"operationfollow","⬇️Join @OHMichael’s Meme Group","follower","aerovets"
174,"_taketheredpill","Wisconsin","follower","aerovets"
175,"sadieredd","Due2job/Blue State ILmovingTN","follower","aerovets"
176,"xingminlaopo","","follower","aerovets"
177,"zhangxiaoling","","follower","aerovets"
178,"pamelaconnor094","Raleigh, NC","follower","aerovets"
179,"zhanying","","follower","aerovets"
180,"bob_eckert","156.5K Total Followers","follower","aerovets"
181,"haishen","NFSC","follower","aerovets"
182,"24578893p","雅典娜農場","follower","aerovets"
183,"moochbot","For most, outta Range!","follower","aerovets"
184,"dumbassery","","follower","aerovets"
185,"darepuz","","follower","aerovets"
186,"kaster","usa","follower","aerovets"
187,"qcqjt526","","follower","aerovets"
188,"laurencarly","North Carolina","follower","aerovets"
189,"1776gunner","Woods of North Carolina","follower","aerovets"
190,"ygqfyxmg","","follower","aerovets"
191,"mainecabinfever","Maine","follower","aerovets"
192,"keiko1104","Tampa Florida","follower","aerovets"
193,"deplorablepaul","Georgia","follower","aerovets"
194,"apryl_witha_why","🌴Florida🌴😎💜","follower","aerovets"
195,"geoffforeman","Springfield Missouri","follower","aerovets"
196,"kagrevolution","South Dakota","follower","aerovets"
197,"diana800262","","follower","aerovets"
198,"keithslocum","Nevada","follower","aerovets"
199,"nancyjeff6868","","follower","aerovets"
200,"paulatreides","Toledo District, Belize","follower","aerovets"
201,"frankroberto_2218","Buffalo NY","follower","aerovets"
202,"wn2175839","","follower","aerovets"
203,"joyevan836","Cali","follower","aerovets"
204,"sandraamacarolin","","follower","aerovets"
205,"monicalarry741000","","follower","aerovets"
206,"steveblink8pm","","follower","aerovets"
207,"wuzhiruge","","follower","aerovets"
208,"jiangqiangqiang","","follower","aerovets"
209,"wei6859","歡迎來到 墨爾本《雅典娜農場》👇","follower","aerovets"
210,"elllam5455","","follower","aerovets"
211,"achiaamargaret74","","follower","aerovets"
212,"lindalavonn","","follower","aerovets"
213,"erin_liu1","USA🇺🇲","follower","aerovets"
214,"tawiahdora41","","follower","aerovets"
215,"dan_dafuque","Spartanburg SC","follower","aerovets"
216,"anitalarbi78","","follower","aerovets"
217,"judithacheampon","","follower","aerovets"
218,"charles_1820","North Carolina","follower","aerovets"
219,"tamika_6303","","follower","aerovets"
220,"bob_eckert","156.5K Total Followers","following","aerovets"
221,"infowars","Austin, Texas","following","aerovets"
222,"gatewaypundit","","following","aerovets"
223,"marklevinshow","Underground Bunker","following","aerovets"
224,"moochbot","For most, outta Range!","following","aerovets"
225,"qcqjt526","","following","aerovets"
226,"gettr","New York, NY","following","aerovets"
227,"nataliegwinters","Washington, D.C.","following","aerovets"
228,"1776gunner","Woods of North Carolina","following","aerovets"
229,"dbrodyreports","","following","aerovets"
230,"keiko1104","Tampa Florida","following","aerovets"
231,"realmirandakhan","","following","aerovets"
232,"deplorablepaul","Georgia","following","aerovets"
233,"kagrevolution","South Dakota","following","aerovets"
234,"davidzere","New York","following","aerovets"
235,"franklingraham","","following","aerovets"
236,"pattymc","","following","aerovets"
237,"lozaalexander","Loza Studios","following","aerovets"
238,"jimhoft","United States of America 🇺🇸","following","aerovets"
239,"revolvernews","","following","aerovets"
240,"themelkshow","Manhattan, NYC","following","aerovets"
241,"amandamilius","Washington, DC","following","aerovets"
242,"resistancechics","Cincinnati,OH","following","aerovets"
243,"sytko","New Jersey","following","aerovets"
244,"pissedoffpatriot77","","following","aerovets"
245,"ronnie2steps","Somewhere between the oceans.","following","aerovets"
246,"magagirl1989","Pennsylvania","following","aerovets"
247,"ronaldjwatkins","Cuenca, Ecuador","following","aerovets"
248,"klarikay","","following","aerovets"
249,"ameliaarley","","following","aerovets"
250,"stonedcommando","12th state in the Union","following","aerovets"
251,"jhingst","Chesterton, Indiana","following","aerovets"
252,"tbatesrav","Denver, Co","following","aerovets"
253,"hannahfarley","","following","aerovets"
254,"sarahoakley","","following","aerovets"
255,"lisamarieboothe","Miami, FL","following","aerovets"
256,"consfighters","","following","aerovets"
257,"kimberlymchugh","","following","aerovets"
258,"lorettashere","USA","following","aerovets"
259,"pebesq","Philadelphia PA","following","aerovets"
260,"livefreeflorida","North Florida","following","aerovets"
261,"lioncubeaglet","null","following","aerovets"
262,"vanderleidemelo","WORLDWIDE","following","aerovets"
263,"susanbertrand","Cumming Georgia","following","aerovets"
