username,location,relationship_type,target
drjoymercader,Metro Manila Philippines,follower,moger4
p3651755,NYC,follower,moger4
toby15,,follower,moger4
long5281,LA,follower,moger4
sandramary1,New York,follower,moger4
ztwfzdwl,,follower,moger4
soffy4jesus,,follower,moger4
kellyoutly_2477,,follower,moger4
elizabetheallens,Georgia,follower,moger4
usncorpsman1952,65325,follower,moger4
sarah_3901,,follower,moger4
cornpopii,,follower,moger4
davetech148,Kentucky,follower,moger4
ronaldltz,USA,follower,moger4
teethtaylor,,follower,moger4
edivaldo31,Brasil,follower,moger4
patriotgirl86,Usa,follower,moger4
vivian_8055,,follower,moger4
texas_mollybee,,follower,moger4
cashmani,,follower,moger4
jasonirish70,United Kingdom,follower,moger4
sandiedavidson,Florida,follower,moger4
patriciapatricia2674,,follower,moger4
dianelenningjd,CA,follower,moger4
jbfurby,,follower,moger4
melossajam,,follower,moger4
clarityh,North East    UK.,follower,moger4
idahostrong,Usa,follower,moger4
oldpelican,,follower,moger4
jacqier,Usa,follower,moger4
steven_king67,Florida,follower,moger4
jakemarklew,London,follower,moger4
hammereddebbie099,United sates,follower,moger4
jabber2,,follower,moger4
jessicamolly,,follower,moger4
shannonsophia,,follower,moger4
stevie85068633,England,follower,moger4
jpaxton2506,,follower,moger4
alexnunez87,Nezahualcoyotl  CDMX,follower,moger4
04081957bg,SW Michigan,follower,moger4
yoshiyahu,📍NFSC,follower,moger4
lugzy,East London uk,follower,moger4
sandhuk1,,follower,moger4
fatuous65,"SLIDELL, LOUISIANA",follower,moger4
karenthayer07,,follower,moger4
ajcook1599c9,,follower,moger4
mercyadrain,,follower,moger4
reginamccaffrey707,California,follower,moger4
yunzhidao,,follower,moger4
scheff1,Florida,follower,moger4
cindyeverest,@shanghai_farm,follower,moger4
ccp_reality_check,NFSC,follower,moger4
evayan,Los Angles,follower,moger4
annamcglovin4,,follower,moger4
gday22,North Carolina,follower,moger4
love333,,follower,moger4
dancesmall,NFSC,follower,moger4
zjn123,,follower,moger4
sadie19,Kentucky,follower,moger4
goodnewsforyou,,follower,moger4
shanghaibund,欢迎加入--美国上海农场--👇,follower,moger4
retirewcashflow,Vancouver,follower,moger4
willie10,Arizona,follower,moger4
steinfalk,,follower,moger4
pissedoff,pissing on libtards,follower,moger4
pc5778609,Mid land texas,follower,moger4
nilapetj,,follower,moger4
mansure_7,——TᗩKE ᗪOᗯᑎ TᕼE ᑕᑕᑭ—— 🫵🏻,follower,moger4
zmstudio,,follower,moger4
janost,Thailand,follower,moger4
liliulangzhe,,follower,moger4
mrperilla,,follower,moger4
philiprocson123,,follower,moger4
haikuotiankong,,follower,moger4
dalemerritt,ogallala ne,follower,moger4
lifterorleaner,Australia,follower,moger4
xiaohui520,新中国联邦,follower,moger4
aryanad,,follower,moger4
chinky,surrey,follower,moger4
charlier96,,follower,moger4
wrecker70,Staffordshire England,follower,moger4
ander_1127,Massachusetts,follower,moger4
usafsf,,follower,moger4
tanyanni,纽约,follower,moger4
sgrockman,,follower,moger4
annsinder1948,"Jasper, Tn.  Land of the Free.",follower,moger4
shannonjessica32,USA,follower,moger4
smoore33,IN/FL,follower,moger4
uptownborg,,follower,moger4
jaclay29,uk,follower,moger4
jin1331,,follower,moger4
ajwar70,"West Yorkshire , UK",follower,moger4
teves_07,,follower,moger4
beverlyapalmquist,Denver Colorado,follower,moger4
zaq1868b,,follower,moger4
gimmeshelter,Loveland,follower,moger4
stav1487mb,Albany NY,follower,moger4
annalex57,,follower,moger4
claudiajo,"Butler, Wisconsin",follower,moger4
jeffdornik,California,follower,moger4
tdagkhan,London,follower,moger4
christ1423314,,follower,moger4
friendlyfire2024_5232,Everyfuckin where!!,follower,moger4
jrc777,Michigan,follower,moger4
moz86,,follower,moger4
jamespatrica,,follower,moger4
tommytrumplover,,follower,moger4
djt4547,Washington,follower,moger4
gettrisshit,Blue hell hole USA,follower,moger4
rich0707aaa,"Belmont,Texas",follower,moger4
trangmai,,follower,moger4
oldhundrednames,,follower,moger4
4isorr,,follower,moger4
worldsgoingmad,,follower,moger4
tideturner,,follower,moger4
francco77,Ultra maga nation,follower,moger4
eyeontheball,Global,follower,moger4
nursenutcracker,,follower,moger4
everygym,NYC,follower,moger4
cuttingtheherd,,follower,moger4
youtuberenegade,,follower,moger4
mydorisx,"Cupertino,CA",follower,moger4
jlmsr,,follower,moger4
ryanarchie,Sacramento California,follower,moger4
sunshine18_8338,,follower,moger4
brionz,"Niagara Falls, Ny",follower,moger4
kcmott,🇺🇸,follower,moger4
bnp_forever,West Midlands,follower,moger4
maya_1,,follower,moger4
steven_king69,Somewhere & Everywhere,follower,moger4
read_or_dead_72,,follower,moger4
tonyp007,Australia,follower,moger4
joolss121,uk,follower,moger4
mark_prichard,BLONDE  BLUE  NORTH CAROLINA,follower,moger4
photobooth,,follower,moger4
monicastan,,follower,moger4
jvill64,arizona,follower,moger4
huyuxuan,,follower,moger4
guzzibob,Wales,follower,moger4
itsjustme40,AMERICA ❤️❤️❤️,follower,moger4
franklivingston1977,"Garner, NC",follower,moger4
zaq1868,,follower,moger4
aktucker0122,,follower,moger4
tona4usa,NC,follower,moger4
serenity17,,follower,moger4
divina01,,follower,moger4
sandramelissajames071,,follower,moger4
american93,,follower,moger4
tammyhouston226,,follower,moger4
gjb2021,"London, England",follower,moger4
