term,language,offense_level,sightings_number
ling ling,English,Extremely offensive,37.0
jungle bunnys,English,-,37.0
scangers,English,-,37.0
chimp-outs,English,-,37.0
mil bag,English,Extremely offensive,37.0
border bandit,English,-,36.0
chee chees,English,-,36.0
half breeds,English,-,35.0
spigotty,English,Extremely offensive,35.0
hymies,English,Moderately offensive,35.0
moss eater,English,Extremely offensive,34.0
mangia cakes,English,-,34.0
nitchy,English,Highly offensive,34.0
cow kisser,English,Highly offensive,34.0
honklets,English,-,33.0
gubs,English,-,33.0
jhants,English,-,33.0
sand ape,English,Extremely offensive,33.0
mackerel snappers,English,Moderately offensive,32.0
Hoorah Henry,English,-,32.0
nigres,English,-,32.0
octroons,English,-,32.0
popolos,English,-,32.0
bog hoppers,English,-,31.0
flips,English,-,31.0
dot head,English,Highly offensive,31.0
Hooray Henrietta,English,-,31.0
hooknoses,English,-,31.0
chi chi man,English,-,30.0
banjo lips,English,Extremely offensive,30.0
spiggers,English,-,30.0
nigors,English,-,30.0
spicish,English,Extremely offensive,30.0
gook eyes,English,-,30.0
mullatoes,English,-,29.0
taco nigger,English,Extremely offensive,29.0
coonadian,English,Extremely offensive,29.0
tinkeres,English,-,29.0
closet dykes  ,English,-,28.0
carpet pilots,English,-,28.0
jiggabos,English,-,27.0
squinties,English,-,27.0
honklet,English,Highly offensive,26.0
yellow invader,English,Extremely offensive,26.0
mockies,English,Moderately offensive,26.0
Kushis,English,-,26.0
Aunt Sallys,English,-,26.0
lubras,English,-,26.0
pickinninies,English,-,25.0
jigg,English,Extremely offensive,25.0
guala guala,English,Highly offensive,25.0
niggerfag,English,Extremely offensive,25.0
Jim Fish,English,Extremely offensive,25.0
jigger,English,Extremely offensive,25.0
border babies  ,English,-,25.0
suspook,English,Extremely offensive,24.0
lugan,English,Highly offensive,24.0
Buddhaheads,English,-,24.0
moulies,English,-,24.0
bootlips,English,Extremely offensive,24.0
chonky,English,Moderately offensive,24.0
pohms,English,-,24.0
timber nigger,English,Extremely offensive,23.0
spigs,English,-,23.0
beach nigger,English,Highly offensive,23.0
piccaninnys,English,-,22.0
slopeheads,English,-,22.0
bog jumper,English,Mildly offensive,22.0
rice niggers,English,-,22.0
half breed,English,Extremely offensive,22.0
nidges,English,-,22.0
bog hopper,English,Highly offensive,21.0
bean bandits,English,Highly offensive,21.0
pineapple nigger,English,Extremely offensive,21.0
bush bandit,English,Extremely offensive,21.0
Lebbos,English,-,21.0
roofucker,English,Extremely offensive,20.0
hories,English,-,20.0
zhyd,English,-,20.0
cave nigger,English,Extremely offensive,20.0
mooks,English,Moderately offensive,20.0
Aunt Marys,English,Moderately offensive,20.0
quashie,English,Highly offensive,20.0
nigger-rig,English,Extremely offensive,20.0
zigabo,English,Highly offensive,20.0
tree niggers,English,Extremely offensive,20.0
tree nigger,English,Extremely offensive,19.0
kanaka,English,Extremely offensive,19.0
mockeys,English,-,18.0
mackerel snapper,English,Moderately offensive,18.0
camel cowboy,English,Extremely offensive,18.0
muslamic,English,Highly offensive,17.0
pussy,English,Moderately offensive,17.0
kotiyas,English,-,17.0
island niggers,English,-,17.0
Aunt Janes,English,Mildly offensive,17.0
shyster,English,Highly offensive,17.0
ghetto hamster,English,Highly offensive,17.0
curry stinkers,English,Extremely offensive,16.0
bush bandits,English,-,16.0
African catfishes,English,-,16.0
red niggers,English,Extremely offensive,16.0
spinks,English,Extremely offensive,16.0
wegroes,English,-,16.0
arsit,English,-,16.0
eh hole,English,Mildly offensive,15.0
muslimal,English,Highly offensive,15.0
degette,English,-,15.0
picaninnys,English,Extremely offensive,15.0
chinig,English,Extremely offensive,15.0
honkeye,English,Highly offensive,15.0
Amo,English,Mildly offensive,15.0
mockie,English,Highly offensive,14.0
hatzis,English,-,14.0
hairybacks,English,-,14.0
closetfag,English,Highly offensive,14.0
hick,English,Highly offensive,14.0
bean dipper,English,Moderately offensive,14.0
chimped-out,English,Extremely offensive,14.0
spiclet,English,Highly offensive,14.0
popolo,English,Extremely offensive,14.0
black dago,English,Highly offensive,13.0
bix noods,English,-,13.0
japies,English,-,13.0
semihole,English,Extremely offensive,13.0
boojies,English,-,13.0
prairie niggers,English,Extremely offensive,13.0
zipperhead,English,Extremely offensive,12.0
gin jockey,English,Highly offensive,12.0
moss eaters,English,-,12.0
closetfags,English,-,12.0
mil bags,English,-,12.0
jiggs,English,-,12.0
